tbdgd,ksmcbl,thzszbl,tryjzhl,shqk,class
0.06122449,0.767676768,0.020408163,0.477777778,0.037903226,class1
0.085714286,0.818181818,0.055102041,0.551851852,0.037903226,class1
0.085714286,0.818181818,0.055102041,0.551851852,0.037903226,class1
0,0.828282828,0.056122449,0.551851852,0.037903226,class1
0.104081633,0.747474747,0.193877551,0.303703704,0.038306452,class1
0.183673469,0.626262626,0.234693878,0.322222222,0.038306452,class1
0.082653061,0.878787879,0.002040816,0.385185185,0.038306452,class1
0.082653061,0.898989899,0.002040816,0.385185185,0.038306452,class1
0.075510204,0.888888889,0.064285714,0.407407407,0.038306452,class1
0.075510204,0.888888889,0.064285714,0.407407407,0.038306452,class1
0.075510204,0.888888889,0.064285714,0.407407407,0.038306452,class1
0.075510204,0.888888889,0.064285714,0.407407407,0.038306452,class1
0.03877551,0.787878788,0.026530612,0.422222222,0.038306452,class1
0.03877551,0.787878788,0.026530612,0.422222222,0.038306452,class1
0.03877551,0.787878788,0.026530612,0.422222222,0.038306452,class1
0.03877551,0.787878788,0.026530612,0.422222222,0.038306452,class1
0.042857143,0.787878788,0.087755102,0.422222222,0.038306452,class1
0.040816327,0.97979798,0.051020408,0.425925926,0.038306452,class1
0.040816327,0.818181818,0.051020408,0.437037037,0.038306452,class1
0.040816327,0.818181818,0.051020408,0.437037037,0.038306452,class1
0.040816327,0.818181818,0.051020408,0.437037037,0.038306452,class1
0.040816327,0.818181818,0.051020408,0.437037037,0.038306452,class1
0.02755102,0.919191919,0.087755102,0.440740741,0.038306452,class1
0.02755102,0.919191919,0.087755102,0.440740741,0.038306452,class1
